client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3761,0,0,0,562,38,804,1308,511,132,406
0,test_set,1612,0,0,0,242,23,364,530,234,53,166
1,train_set,3775,0,0,0,503,44,874,1277,503,162,412
1,test_set,1619,0,0,0,185,28,389,567,224,50,176
2,train_set,3786,0,0,0,622,37,814,1319,488,128,378
2,test_set,1623,0,0,0,234,14,352,531,234,74,184
3,train_set,3802,369,422,248,0,0,0,82,1096,640,945
3,test_set,1630,139,189,119,0,0,0,44,471,266,402
4,train_set,3794,381,429,253,0,0,0,82,1088,626,935
4,test_set,1627,167,186,104,0,0,0,41,451,284,394
5,train_set,3817,383,421,255,0,0,0,94,1135,614,915
5,test_set,1637,161,186,109,0,0,0,42,467,289,383
6,train_set,3666,445,4,811,1385,749,272,0,0,0,0
6,test_set,1572,197,0,325,628,314,108,0,0,0,0
7,train_set,3695,469,4,799,1401,754,268,0,0,0,0
7,test_set,1584,198,2,330,614,325,115,0,0,0,0
8,train_set,3698,432,4,823,1425,743,271,0,0,0,0
8,test_set,1586,210,2,339,623,312,100,0,0,0,0
9,train_set,3727,461,9,834,1367,780,276,0,0,0,0
9,test_set,1598,202,2,349,607,319,119,0,0,0,0
