client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3206,0,0,0,223,904,593,132,698,157,499
0,test_set,1375,0,0,0,82,346,263,44,351,76,213
1,train_set,3231,0,0,0,217,852,632,125,752,157,496
1,test_set,1385,0,0,0,71,404,279,49,311,61,210
2,train_set,3238,0,0,0,192,874,644,123,744,165,496
2,test_set,1388,0,0,0,73,381,266,49,320,75,224
3,train_set,3249,0,0,0,204,888,642,112,713,172,518
3,test_set,1393,0,0,0,96,412,252,53,311,77,192
4,train_set,2872,134,311,1835,0,0,0,256,26,61,249
4,test_set,1231,72,127,799,0,0,0,99,3,36,95
5,train_set,2907,143,310,1859,0,0,0,262,20,89,224
5,test_set,1246,75,123,774,0,0,0,138,11,25,100
6,train_set,2912,147,299,1888,0,0,0,263,30,73,212
6,test_set,1249,71,128,787,0,0,0,99,10,45,109
7,train_set,2921,161,309,1845,0,0,0,257,25,85,239
7,test_set,1253,75,147,766,0,0,0,118,8,41,98
8,train_set,3207,524,309,704,942,328,400,0,0,0,0
8,test_set,1375,213,144,270,425,153,170,0,0,0,0
9,train_set,3239,530,305,659,964,332,449,0,0,0,0
9,test_set,1389,240,136,282,408,128,195,0,0,0,0
10,train_set,3228,513,314,668,964,347,422,0,0,0,0
10,test_set,1384,236,135,283,418,144,168,0,0,0,0
11,train_set,3237,574,300,652,969,322,420,0,0,0,0
11,test_set,1388,228,126,287,416,148,183,0,0,0,0
