client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,368,363,354,316,381,365,341,367,324,321
0,test_set,1500,144,151,143,169,158,144,143,140,152,156
1,train_set,3500,350,359,390,316,345,339,351,365,342,343
1,test_set,1500,154,146,148,136,156,160,143,167,148,142
2,train_set,3500,366,362,335,333,372,342,321,345,355,369
2,test_set,1500,158,147,132,178,177,146,146,147,133,136
3,train_set,3500,346,336,365,342,337,359,364,361,325,365
3,test_set,1500,155,146,154,118,153,144,136,150,168,176
4,train_set,3500,318,348,352,343,340,392,366,347,341,353
4,test_set,1500,146,160,136,137,150,157,174,150,153,137
5,train_set,3500,334,328,381,360,342,345,363,356,346,345
5,test_set,1500,164,156,142,166,147,136,126,155,159,149
6,train_set,3500,367,355,334,362,339,304,369,389,338,343
6,test_set,1500,159,154,151,152,139,137,160,140,148,160
7,train_set,3500,361,344,338,366,350,368,351,327,346,349
7,test_set,1500,161,150,152,143,130,161,175,140,158,130
8,train_set,3500,304,362,341,385,352,365,343,344,375,329
8,test_set,1500,155,142,144,180,148,147,122,137,161,164
9,train_set,3500,341,356,344,346,331,332,357,336,366,391
9,test_set,1500,149,135,164,152,153,157,149,137,162,142
