client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,2916,292,310,301,254,319,306,270,296,296,272
0,test_set,1251,111,128,111,118,137,131,139,146,131,99
1,train_set,2916,277,314,269,321,283,269,289,302,307,285
1,test_set,1251,136,147,133,105,116,133,115,118,126,122
2,train_set,2916,289,280,260,335,278,318,298,255,308,295
2,test_set,1251,118,124,129,134,132,121,127,120,121,125
3,train_set,2916,286,268,298,294,285,280,310,289,298,308
3,test_set,1251,141,120,127,119,121,136,129,119,126,113
4,train_set,2916,299,327,294,299,299,263,319,259,271,286
4,test_set,1251,118,109,115,136,137,114,134,133,127,128
5,train_set,2916,308,293,292,288,268,297,279,280,310,301
5,test_set,1251,101,103,126,123,144,138,143,113,132,128
6,train_set,2916,296,273,298,320,275,273,296,303,287,295
6,test_set,1251,117,145,117,142,135,123,105,137,117,113
7,train_set,2916,315,292,292,276,282,300,284,291,294,290
7,test_set,1251,139,123,126,133,131,104,121,130,118,126
8,train_set,2916,300,305,287,292,254,296,270,311,287,314
8,test_set,1250,121,130,107,123,133,135,125,144,116,116
9,train_set,2916,272,314,304,275,280,295,287,290,281,318
9,test_set,1250,117,118,158,132,105,117,127,130,132,114
10,train_set,2916,286,299,272,280,318,289,301,280,293,298
10,test_set,1250,138,114,131,122,139,130,101,122,126,127
11,train_set,2916,283,261,325,263,304,301,296,309,279,295
11,test_set,1250,140,103,128,116,125,131,135,123,117,132
