client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4375,432,449,456,439,472,424,422,432,435,414
0,test_set,1875,189,193,162,197,199,186,197,191,192,169
1,train_set,4375,428,482,438,422,424,428,429,443,456,425
1,test_set,1875,174,202,200,191,172,187,172,186,188,203
2,train_set,4375,435,457,394,464,456,427,440,430,446,426
2,test_set,1875,188,195,177,228,162,201,175,175,185,189
3,train_set,4375,450,423,436,426,464,438,425,426,458,429
3,test_set,1875,202,185,208,174,170,166,200,192,177,201
4,train_set,4375,455,468,412,412,419,434,440,466,430,439
4,test_set,1875,165,199,185,174,189,201,198,200,171,193
5,train_set,4375,435,439,446,437,430,448,450,405,446,439
5,test_set,1875,174,166,198,194,170,186,189,199,198,201
6,train_set,4375,449,416,433,461,488,413,414,429,429,443
6,test_set,1875,172,167,203,180,171,213,199,183,192,195
7,train_set,4375,477,390,460,416,432,436,449,442,428,445
7,test_set,1875,175,169,192,185,182,212,201,201,169,189
