client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3175,0,0,0,567,350,889,704,48,198,419
0,test_set,1361,0,0,0,262,134,350,287,32,122,174
1,train_set,3194,0,0,0,599,341,884,685,57,227,401
1,test_set,1370,0,0,0,255,131,359,307,34,109,175
2,train_set,3191,0,0,0,598,330,861,723,62,215,402
2,test_set,1368,0,0,0,245,143,385,288,17,98,192
3,train_set,3187,442,184,851,0,0,0,453,560,512,185
3,test_set,1367,179,86,362,0,0,0,208,232,226,74
4,train_set,3209,418,159,839,0,0,0,499,622,480,192
4,test_set,1376,181,68,362,0,0,0,208,241,233,83
5,train_set,3215,423,191,842,0,0,0,506,553,514,186
5,test_set,1379,179,58,375,0,0,0,207,250,227,83
6,train_set,3068,183,259,1255,231,634,506,0,0,0,0
6,test_set,1316,87,104,532,88,276,229,0,0,0,0
7,train_set,3084,196,250,1272,204,690,472,0,0,0,0
7,test_set,1323,73,121,514,106,280,229,0,0,0,0
8,train_set,3095,188,268,1216,225,674,524,0,0,0,0
8,test_set,1327,84,125,534,107,266,211,0,0,0,0
9,train_set,3097,178,263,1256,235,672,493,0,0,0,0
9,test_set,1328,85,137,542,99,245,220,0,0,0,0
