client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,5250,502,523,528,532,516,483,530,537,547,552
0,test_set,2250,220,199,214,217,261,248,222,211,219,239
1,train_set,5250,541,529,510,548,522,515,523,558,517,487
1,test_set,2250,226,224,235,265,233,206,214,203,240,204
2,train_set,5250,535,529,521,498,498,568,513,534,523,531
2,test_set,2250,223,230,206,217,204,222,255,246,219,228
3,train_set,5250,512,528,505,509,521,556,567,524,517,511
3,test_set,2250,224,230,210,207,211,220,239,254,224,231
4,train_set,5250,512,531,564,489,551,548,502,506,531,516
4,test_set,2250,235,218,214,237,230,241,235,223,206,211
5,train_set,5250,523,539,508,507,552,518,545,505,515,538
5,test_set,2250,232,224,237,239,209,224,204,213,242,226
6,train_set,5250,549,533,542,537,510,506,509,513,516,535
6,test_set,2250,205,234,236,255,213,225,229,217,225,211
7,train_set,5250,524,515,546,541,524,504,501,511,527,557
7,test_set,2250,237,214,224,202,245,216,212,245,232,223
