client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,3500,346,349,374,367,374,346,336,329,357,322
0,test_set,1500,164,136,138,150,158,143,148,137,154,172
1,train_set,3500,331,359,343,352,382,336,344,360,323,370
1,test_set,1500,168,129,155,175,125,145,148,145,151,159
2,train_set,3500,318,383,362,356,334,370,338,358,325,356
2,test_set,1500,151,158,138,151,160,149,152,140,163,138
3,train_set,3500,352,334,361,349,361,349,370,369,297,358
3,test_set,1500,139,143,152,151,123,138,152,156,166,180
4,train_set,3500,329,348,357,353,328,351,336,364,360,374
4,test_set,1500,142,153,138,145,164,152,170,146,137,153
5,train_set,3500,354,376,351,375,354,325,332,320,363,350
5,test_set,1500,174,163,148,157,140,166,136,150,130,136
6,train_set,3500,347,347,358,354,315,365,377,358,338,341
6,test_set,1500,161,145,160,138,129,151,149,149,153,165
7,train_set,3500,360,363,331,338,383,340,344,365,340,336
7,test_set,1500,171,146,149,134,143,150,151,134,170,152
8,train_set,3500,348,334,364,321,370,370,360,366,351,316
8,test_set,1500,140,151,149,139,164,158,139,135,144,181
9,train_set,3500,342,346,341,347,353,354,369,357,395,296
9,test_set,1500,153,143,152,153,162,137,157,147,152,144
10,train_set,3500,369,358,338,357,338,359,327,354,344,356
10,test_set,1500,166,135,149,151,149,127,163,151,160,149
11,train_set,3500,328,337,341,335,346,380,344,378,365,346
11,test_set,1500,147,164,151,152,145,139,158,132,162,150
