client_id,partition,total_samples,0,1,2,3,4,5,6,7,8,9
orchestrator,central_test_set,10000,980,1135,1032,1010,982,892,958,1028,974,1009
0,train_set,4200,417,446,430,463,373,404,415,435,413,404
0,test_set,1800,183,221,181,181,172,174,174,166,173,175
1,train_set,4200,397,464,431,396,387,383,465,426,438,413
1,test_set,1800,182,184,195,179,161,182,179,174,185,179
2,train_set,4200,411,490,431,411,388,383,451,445,371,419
2,test_set,1800,169,178,174,188,189,155,174,192,202,179
3,train_set,4200,424,465,444,441,404,380,393,432,412,405
3,test_set,1800,163,209,201,176,164,168,168,214,172,165
4,train_set,4200,437,485,375,418,436,354,416,433,425,421
4,test_set,1800,171,206,185,172,188,141,177,207,174,179
5,train_set,4200,413,445,388,421,435,378,427,456,370,467
5,test_set,1800,185,200,164,184,170,160,187,190,176,184
6,train_set,4200,404,480,400,444,403,392,415,450,403,409
6,test_set,1800,199,187,170,175,166,180,179,184,179,181
7,train_set,4200,426,469,403,438,427,419,384,418,398,418
7,test_set,1800,191,184,161,191,203,154,176,186,186,168
8,train_set,4200,390,505,418,427,417,329,423,465,408,418
8,test_set,1800,172,213,172,192,183,153,176,171,187,181
9,train_set,4200,420,504,457,415,402,361,375,444,396,426
9,test_set,1800,169,207,178,219,174,171,164,177,183,158
